bib,fullname,sex,age,category,country_code,club,utmb_index,rank_scratch,rank_sex,rank_cat,race_time,diff_to_first,is_finisher,status,start_time,profile_url,race_time_seconds,total_rest_time,total_rest_time_seconds,n_passings
1789,Marco NONNI,H,41,40-44M,IT,United Trail Running,523,625,534,123,35:50:14,17:33:45,TRUE,f,2026-08-28T17:50:56.080Z,https://utmb.world/runner/4525316.marco.nonni,129014.72,2:31:51,9111.310000000001,27
509,Vladimir SHATROV,H,48,45-49M,AU,RUNLAB,775,626,535,78,35:50:17,17:33:48,TRUE,f,2026-08-28T17:48:56.350Z,https://utmb.world/runner/891437.vladimir.shatrov,129017.61,3:20:12,12012.25,27
236,Reika ITABASHI,F,28,20-34W,JP,NA,664,627,92,31,35:51:22,17:34:53,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/4025277.reika.itabashi,129082.95,2:22:26,8545.99,27
1848,Valéry BEMELMANS,H,48,45-49M,BE,NA,511,628,536,79,35:51:37,17:35:08,TRUE,f,2026-08-28T17:50:37.180Z,https://utmb.world/runner/3687931.valery.bemelmans,129097.51,2:17:27,8247.18,27
1348,Carolina PALICIO VARELA,F,43,40-44W,ES,G.M. Cumbre  LLangreu,566,629,93,17,35:51:49,17:35:20,TRUE,f,2026-08-28T17:51:50.890Z,https://utmb.world/runner/1209811.carolina.paliciovarela,129108.28,1:19:50,4790.379999999999,27
804,Ondřej ZÁBOJNÍK,H,36,35-39M,CZ,IZOLACE IZOP s.r.o.,647,630,537,132,35:52:08,17:35:39,TRUE,f,2026-08-28T17:51:03.260Z,https://utmb.world/runner/5538237.ondrej.zabojnik,129128.69,2:16:10,8170.459999999999,27
1159,Leonie HASENAUER,F,31,20-34W,AT,LC Oberpinzgau,597,631,94,32,35:53:52,17:37:23,TRUE,f,2026-08-28T17:49:46.270Z,https://utmb.world/runner/3311679.leonie.hasenauer,129232.48,2:04:11,7450.94,27
1127,David LAULHEY,H,53,50-54M,FR,NA,593,632,538,34,35:53:54,17:37:25,TRUE,f,2026-08-28T17:49:11.340Z,https://utmb.world/runner/128197.david.laulhey,129234.1,2:43:06,9785.640000000001,27
1960,Julien TOURIGNY,H,41,40-44M,FR,NA,501,633,539,124,35:55:30,17:39:01,TRUE,f,2026-08-28T17:49:17.300Z,https://utmb.world/runner/4490384.julien.tourigny,129330.67,2:45:21,9920.720000000001,27
386,Amédine MONTANVERT,F,36,35-39W,FR,Taillefer Trail Team,600,634,95,33,35:55:50,17:39:21,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/4292767.amedine.montanvert,129350.57,3:03:47,11026.500000000002,27
1060,Charles HELLO,H,31,20-34M,FR,NA,604,635,540,157,35:57:04,17:40:35,TRUE,f,2026-08-28T17:50:28.410Z,https://utmb.world/runner/5147477.charles.hello,129424.39,3:55:02,14101.55,27
1545,Rima VILIUNIENE,F,55,55-59W,LT,Love Streams Running,543,636,96,1,35:57:22,17:40:53,TRUE,f,2026-08-28T17:51:20.570Z,https://utmb.world/runner/1472125.rima.viliuniene,129442.21,1:19:29,4768.87,27
1024,Ruben ESQUERDA ROLDAN,H,50,50-54M,ES,Vegantrail,610,637,541,35,35:57:42,17:41:13,TRUE,f,2026-08-28T17:49:34.230Z,https://utmb.world/runner/1343015.ruben.esquerdaroldan,129461.85,4:00:22,14422.25,27
740,Stanislas EBRARD,H,41,40-44M,FR,NA,665,638,542,125,35:59:48,17:43:19,TRUE,f,2026-08-28T17:48:58.480Z,https://utmb.world/runner/3222609.stanislas.ebrard,129587.68,5:11:29,18689.33,27
1363,Luca BASSI,H,39,35-39M,IT,NA,607,639,543,133,36:00:10,17:43:41,TRUE,f,2026-08-28T17:52:05.640Z,https://utmb.world/runner/5378664.luca.bassi,129609.59,2:29:27,8966.94,27
